
 !***TRACE Bacon number     1 on file (43)***

 I          67 X  5.40521E+02 Y  5.03034E+01 Z  9.25000E+01 AT           0
 I          68 X  5.45689E+02 Y  4.25123E+01 Z  9.25000E+01 AT           0
 I          69 X  5.48907E+02 Y  3.37352E+01 Z  9.25000E+01 AT           0
 I          70 X  5.50000E+02 Y  2.44482E+01 Z  9.25000E+01 AT           0
 I          71 X  5.16576E+02 Y  6.39040E+01 Z  1.00000E+02 AT           0
 I          72 X  5.25556E+02 Y  6.12997E+01 Z  1.00000E+02 AT           0
 I          73 X  5.33685E+02 Y  5.66820E+01 Z  1.00000E+02 AT           0
 I          74 X  5.40521E+02 Y  5.03034E+01 Z  1.00000E+02 AT           0
 I          75 X  5.45689E+02 Y  4.25123E+01 Z  1.00000E+02 AT           0
 I          76 X  5.48907E+02 Y  3.37352E+01 Z  1.00000E+02 AT           0
 I          77 X  5.50000E+02 Y  2.44482E+01 Z  1.00000E+02 AT           0
 I          78 X  5.16576E+02 Y  6.39040E+01 Z  1.07500E+02 AT           0
 I          79 X  5.25556E+02 Y  6.12997E+01 Z  1.07500E+02 AT           0
 I          80 X  5.33685E+02 Y  5.66820E+01 Z  1.07500E+02 AT           0
 I          81 X  5.40521E+02 Y  5.03034E+01 Z  1.07500E+02 AT           0
 I          82 X  5.45689E+02 Y  4.25123E+01 Z  1.07500E+02 AT           0
 I          83 X  5.48907E+02 Y  3.37352E+01 Z  1.07500E+02 AT           0
 I          84 X  5.50000E+02 Y  2.44482E+01 Z  1.07500E+02 AT           0
 I          85 X  5.16576E+02 Y  6.39040E+01 Z  1.15000E+02 AT           0
 I          86 X  5.25556E+02 Y  6.12997E+01 Z  1.15000E+02 AT           0
 I          87 X  5.33685E+02 Y  5.66820E+01 Z  1.15000E+02 AT           0
 I          88 X  5.40521E+02 Y  5.03034E+01 Z  1.15000E+02 AT           0
 I          89 X  5.45689E+02 Y  4.25123E+01 Z  1.15000E+02 AT           0
 I          90 X  5.48907E+02 Y  3.37352E+01 Z  1.15000E+02 AT           0
 I          91 X  5.50000E+02 Y  2.44482E+01 Z  1.15000E+02 AT           0
 I          92 X  5.16576E+02 Y  6.39040E+01 Z  1.22500E+02 AT           0
 I          93 X  5.25556E+02 Y  6.12997E+01 Z  1.22500E+02 AT           0
 I          94 X  5.33685E+02 Y  5.66820E+01 Z  1.22500E+02 AT           0
 I          95 X  5.40521E+02 Y  5.03034E+01 Z  1.22500E+02 AT           0
 I          96 X  5.45689E+02 Y  4.25123E+01 Z  1.22500E+02 AT           0
 I          97 X  5.48907E+02 Y  3.37352E+01 Z  1.22500E+02 AT           0
 I          98 X  5.50000E+02 Y  2.44482E+01 Z  1.22500E+02 AT           0
 I          99 X  5.16576E+02 Y  6.39040E+01 Z  1.30000E+02 AT           0
 I         100 X  5.25556E+02 Y  6.12997E+01 Z  1.30000E+02 AT           0
 I         101 X  5.33685E+02 Y  5.66820E+01 Z  1.30000E+02 AT           0
 I         102 X  5.40521E+02 Y  5.03034E+01 Z  1.30000E+02 AT           0
 I         103 X  5.45689E+02 Y  4.25123E+01 Z  1.30000E+02 AT           0
 I         104 X  5.48907E+02 Y  3.37352E+01 Z  1.30000E+02 AT           0
 I         105 X  5.50000E+02 Y  2.44482E+01 Z  1.30000E+02 AT           0
 I         106 X  5.16576E+02 Y  6.39040E+01 Z  1.37500E+02 AT           0
 I         107 X  5.25556E+02 Y  6.12997E+01 Z  1.37500E+02 AT           0
 I         108 X  5.33685E+02 Y  5.66820E+01 Z  1.37500E+02 AT           0
 I         109 X  5.40521E+02 Y  5.03034E+01 Z  1.37500E+02 AT           0
 I         110 X  5.45689E+02 Y  4.25123E+01 Z  1.37500E+02 AT           0
 I         111 X  5.48907E+02 Y  3.37352E+01 Z  1.37500E+02 AT           0
 I         112 X  5.50000E+02 Y  2.44482E+01 Z  1.37500E+02 AT           0
 I         113 X  5.16576E+02 Y  6.39040E+01 Z  1.45000E+02 AT           0
 I         114 X  5.25556E+02 Y  6.12997E+01 Z  1.45000E+02 AT           0
 I         115 X  5.33685E+02 Y  5.66820E+01 Z  1.45000E+02 AT           0
 I         116 X  5.40521E+02 Y  5.03034E+01 Z  1.45000E+02 AT           0
 I         117 X  5.45689E+02 Y  4.25123E+01 Z  1.45000E+02 AT           0
 I         118 X  5.48907E+02 Y  3.37352E+01 Z  1.45000E+02 AT           0
 I         119 X  5.50000E+02 Y  2.44482E+01 Z  1.45000E+02 AT           0
 I         120 X  5.16576E+02 Y  6.39040E+01 Z  1.52500E+02 AT           0
 I         121 X  5.25312E+02 Y  6.14017E+01 Z  1.52500E+02 AT           0
 I         122 X  5.33685E+02 Y  5.66820E+01 Z  1.52500E+02 AT           0
 I         123 X  5.40521E+02 Y  5.03034E+01 Z  1.52500E+02 AT           0
 I         124 X  5.45689E+02 Y  4.25123E+01 Z  1.52500E+02 AT           0
 I         125 X  5.48968E+02 Y  3.34766E+01 Z  1.52500E+02 AT           0
