
 !***TRACE Bacon number     1 on file (47)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------------------------
 | Nodes |           Displ.(X,Y,Z)(1.3)           |
 |    89 |  3.99453E-03  2.97605E-02 -7.88214E-02 |
 |    90 |  2.01076E-03  2.93062E-02 -6.29157E-02 |
 |    91 |  2.69756E-05  2.88519E-02 -4.70099E-02 |
 |    92 |  1.01851E-02  4.93098E-02 -1.05988E-01 |
 |    93 |  9.88149E-03  4.86124E-02 -1.03318E-01 |
 |    94 |  9.33424E-03  4.73589E-02 -1.00634E-01 |
 |    95 |  8.22198E-03  4.64506E-02 -8.96971E-02 |
 |    96 |  6.04707E-03  4.46578E-02 -7.88323E-02 |
 |    97 |  4.06329E-03  4.42035E-02 -6.29265E-02 |
 |    98 |  3.92719E-05  4.32985E-02 -4.70099E-02 |
 |    99 |  1.35439E-02  6.56478E-02 -1.05941E-01 |
 |   100 |  1.29967E-02  6.43942E-02 -1.03257E-01 |
 |   101 |  1.24494E-02  6.31407E-02 -1.00573E-01 |
 |   102 |  1.02745E-02  6.13478E-02 -8.97079E-02 |
 |   103 |  8.09960E-03  5.95550E-02 -7.88432E-02 |
 |   104 |  4.07558E-03  5.86500E-02 -6.29265E-02 |
 |   105 |  5.15682E-05  5.77451E-02 -4.70099E-02 |
 |   106 |  1.67547E-02  8.16231E-02 -1.05871E-01 |
 |   107 |  1.62075E-02  8.03696E-02 -1.03186E-01 |
 |   108 |  1.54190E-02  7.85881E-02 -1.00484E-01 |
 |   109 |  1.32441E-02  7.67953E-02 -8.96191E-02 |
 |   110 |  1.03711E-02  7.44421E-02 -7.88554E-02 |
 |   111 |  6.34713E-03  7.35371E-02 -6.29388E-02 |
 |   112 |  6.38644E-05  7.21916E-02 -4.70099E-02 |
 |   113 |  1.99655E-02  9.75985E-02 -1.05800E-01 |
 |   114 |  1.91770E-02  9.58170E-02 -1.03097E-01 |
 |   115 |  1.83885E-02  9.40356E-02 -1.00395E-01 |
 |   116 |  1.55156E-02  9.16824E-02 -8.96314E-02 |
 |   117 |  1.26427E-02  8.93292E-02 -7.88677E-02 |
 |   118 |  6.35943E-03  8.79837E-02 -6.29388E-02 |
 |   119 |  7.61607E-05  8.66382E-02 -4.70099E-02 |
 |   120 |  2.27285E-02  1.12474E-01 -1.05732E-01 |
 |   121 |  2.19401E-02  1.10693E-01 -1.03029E-01 |
 |   122 |  2.08621E-02  1.08626E-01 -1.00300E-01 |
