
 !***TRACE Bacon number     1 on file (49)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------
 | Elements | V. Mises:U.S(2.1) |
 |      182 |       1.66973E+01 |
 |      183 |       1.69200E+01 |
 |      184 |       1.74360E+01 |
 |      185 |       1.83311E+01 |
 |      186 |       1.97151E+01 |
 |      187 |       1.93512E+01 |
 |      188 |       1.80841E+01 |
 |      189 |       1.71974E+01 |
 |      190 |       1.66415E+01 |
 |      191 |       1.63777E+01 |
 |      192 |       1.63751E+01 |
 |      193 |       1.66344E+01 |
 |      194 |       1.71868E+01 |
 |      195 |       1.80720E+01 |
 |      196 |       1.93389E+01 |
 |      197 |       1.90100E+01 |
 |      198 |       1.78191E+01 |
 |      199 |       1.69765E+01 |
 |      200 |       1.64185E+01 |
 |      201 |       1.61457E+01 |
 |      202 |       1.61439E+01 |
 |      203 |       1.64132E+01 |
 |      204 |       1.69689E+01 |
 |      205 |       1.78106E+01 |
 |      206 |       1.90029E+01 |
 |      207 |       1.87088E+01 |
 |      208 |       1.76185E+01 |
 |      209 |       1.67965E+01 |
 |      210 |       1.62538E+01 |
 |      211 |       1.59842E+01 |
 |      212 |       1.59829E+01 |
 |      213 |       1.62501E+01 |
 |      214 |       1.67910E+01 |
 |      215 |       1.76123E+01 |
 |      216 |       1.87033E+01 |
 |      217 |       1.84761E+01 |
 |      218 |       1.74488E+01 |
 |      219 |       1.66669E+01 |
 |      220 |       1.61436E+01 |
 |      221 |       1.58830E+01 |
 |      222 |       1.58821E+01 |
 |      223 |       1.61410E+01 |
 |      224 |       1.66631E+01 |
 |      225 |       1.74445E+01 |
 |      226 |       1.84726E+01 |
 |      227 |       1.83566E+01 |
 |      228 |       1.73424E+01 |
 |      229 |       1.65867E+01 |
 |      230 |       1.60877E+01 |
 |      231 |       1.58387E+01 |
 |      232 |       1.58380E+01 |
 |      233 |       1.60860E+01 |
 |      234 |       1.65841E+01 |
 |      235 |       1.73395E+01 |
 |      236 |       1.83533E+01 |
 |      237 |       1.82787E+01 |
 |      238 |       1.72880E+01 |
 |      239 |       1.65634E+01 |
 |      240 |       1.60873E+01 |
 |      241 |       1.58519E+01 |
 |      242 |       1.58515E+01 |
